Date,Day of the Week,Amount,Description,Category ,Method of Payment
1/20,Friday,40.15,Grand Hot Pot,Food,Debit
1/21,Saturday,35.73,Trader Joes groceries,Food,Debit
1/21,Saturday,28.67,Thrifting @ Mars Vintage,Entertainment and Recreation,Debit
1/21,Saturday,36.38,Bday dinner @ Toss Noodle Bar,Food,Debit
1/21,Saturday,9.99,Spotify subscription,Entertainment and Recreation,Debit
1/22,Sunday,10.94,Uber ,Travel,Debit
1/25,Wednesday,15,Gas,Travel,Debit
1/25,Wednesday,25,Brother's bday gift ,Entertainment and Recreation,Debit
1/25,Wednesday,14.07,Roses,Entertainment and Recreation,Debit
1/25,Wednesday,22.89,Nachos @ La Fondita,Food,Debit
1/26,Thursday,6,Starbucks Coffee ,Food,Debit
1/26,Thursday,58.95,(plus) venmo transfer ,Financial goals and Savings,Debit
1/26,Thursday,31.57,Thrifting @ Flipside ,Entertainment and Recreation,Debit
1/26,Thursday,4.75,Coffee @ Squatch ,Food,Debit
1/26,Thursday,6.5,Pizza @ Escape,Food,Debit
1/27,Friday,556.82,(plus) paycheck,Financial goals and Savings,Debit
1/27,Friday,14.92,Uber ,Travel,Debit
1/27,Friday,4,Venmo for drink,Food,Debit
1/28,Saturday,17.97,Thrifting @ Salvation Army,Entertainment and Recreation,Debit
1/29,Sunday,13.12,Philz coffee,Food,Debit
1/30,Monday,8.98,Uber ,Travel,Debit
1/31,Tuesday,8.9,Uber ,Travel,Debit
1/31,Tuesday,12.45,Philz coffee,Food,Debit
1/31,Tuesday,102.11,DMV,Travel,Debit
1/31,Tuesday,26.85,Toiletries,Food,Debit
